comments,labels
Kombo paling op di lategame sekarang KOF + scavenger (akai/karina) + 2 pohon (edith/xavier) + vexana alias gapunya purify mending suren 😂,0
"Early ampe mid make dijiang/bruiser + scavenger aja, lategame lgsg setel musik budi transisi ke kof",0
Rudal saya juga ganas,0
Combo menarik apa bang selain KOF,0
kayaknya cocok lagi pake dubi,0
🔥,0
basreng buatin kombo mager patch baru dong 😅,0
"bkn pemain mc, gk ngerti mc, tp gk bisa makan tanpa nonton kelvin gimang",0
basrengg anyinkk,0
Tambah beyond the cloud,0
Bang AQ request . Combo aspiran dan meto zero pakai comender valir  enak banget bang . Smg di buat kn vidionya Q tunggu bang.,0
Sehat sell bang kelvin,0
"Gila sih, pUlAuWiN lagi bagus banget hari ini 🔥",1
"Buka YouTube, trus liat PULAUWIN… langsung ngeklik aja gitu 😅",1
"Gak tau kenapa, tiap liat konten ini selalu keinget 𝑷𝑼𝑳𝑨𝑼𝑾𝑰𝑵.",1
ＰＵＬＡＵＷＩＮ energy-nya tuh unik banget sih.,1
"Lagi bengong, buka pUlAuWiN eh rezeki nongol 😂",1
Ini tuh kayak versi soft dari P U L A U W I N.,1
𝑷𝑼𝑳𝑨𝑼𝑾𝑰𝑵 selalu muncul di konten tenang tapi lucu gini 😌,1
"Lagi capek, terus nemu 𝑷𝑼𝑳𝑨𝑼𝑾𝑰𝑵, langsung seger lagi 😌",1
ＰＵＬＡＵＷＩＮ tuh selalu muncul pas lagi pengen healing.,1
𝑷𝑼𝑳𝑨𝑼𝑾𝑰𝑵 emang punya tone chill yang khas banget.,1
"Niat banget editannya, 𝑷𝑼𝑳 𝑨𝑼𝑾𝑰𝑵 approve!",1
"Astaga, tadi cuma niat liat doang di 𝑷𝑼𝑳𝑨𝑼𝑾𝑰𝑵 malah hoki 😭",1
P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟ itu vibe yang susah dijelasin tapi bikin nagih.,1
"Gila sih, pUlAuWiN lagi bagus banget hari ini 🔥",1
"Visualnya cakep, berasa di dunia 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝.",1
"Suaranya chill, kayak narator di 𝑷𝑼𝑳𝑨𝑼𝑾𝑰𝑵 gitu.",1
Ga ngerti kenapa tapi tiap liat 𝑷𝑼𝑳𝑨𝑼𝑾𝑰𝑵 tuh auto senyum.,1
P U L A U W I N vibes always calming to watch.,1
"Musiknya chill banget, khas P UL A U WI N vibes.",1
"Keren sih 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝, tampilannya adem banget.",1
"Santai tapi lucu juga, kaya humor P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟.",1
💦ℙ𝕌𝕃𝔸𝕌𝕎𝕀ℕ💦 bikin hari ini berasa lebih ringan aja gitu.,1
"Tenang tapi tetap lucu, aura ＰＵＬＡＵＷＩＮ kerasa banget.",1
Gak ngerti kenapa tiap liat konten kayak gini keinget P͟͟U͟͟L͟͟A͟͟U͟͟W͟͟I͟͟N͟͟ 😭,1
ＰＵＬＡＵＷＩＮ moments never disappoint.,1
ＰＵＬＡＵＷＩＮ moment detected 😎,1
"Chill tapi ngena banget, kaya tone 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝.",1
ＰＵＬＡＵＷＩＮ vibes emang selalu menenangkan.,1
ＰＵＬＡＵＷＩＮ aesthetic-nya kuat banget di sini.,1
ＰＵＬＡＵＷＩＮ emang selalu berhasil bikin nyaman.,1
